,id,name,iata,icao,city,lat,lon,country,alt,size,timezone,countryId
3809,3089,Sabang Maimun Saleh Airport,SBG,WIAB,Sabang,5.874131,95.339668,Indonesia,393,574,"{'name': 'Asia/Jakarta', 'offset': 25200, 'offsetHours': '7:00', 'abbr': 'WIB', 'abbrName': 'Western Indonesian Time', 'isDst': False}",103
3810,7591,Sabetta International Airport,SBT,USDA,Sabetta,71.216118,72.049713,Russia,10,1546,"{'name': 'Asia/Yekaterinburg', 'offset': 18000, 'offsetHours': '5:00', 'abbr': '+05', 'abbrName': None, 'isDst': False}",182
3811,3130,Sabha Airport,SEB,HLLS,Sabha,26.986959,14.47252,Libya,1427,325,"{'name': 'Africa/Tripoli', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'EET', 'abbrName': 'Eastern European Time', 'isDst': False}",125
3812,6171,Sabzevar Airport,AFZ,OIMS,Sabzevar,36.168098,57.5952,Iran,3010,347,"{'name': 'Asia/Tehran', 'offset': 12600, 'offsetHours': '3:30', 'abbr': '+0330', 'abbrName': None, 'isDst': False}",104
3813,4396,Sachigo Lake Airport,ZPB,CZPB,Sachigo Lake,53.890556,-92.195274,Canada,871,850,"{'name': 'America/Winnipeg', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'CST', 'abbrName': 'Central Standard Time', 'isDst': False}",40
3814,3075,Sacramento Executive Airport,SAC,KSAC,Sacramento,38.51252,-121.492996,United States,23,87391,"{'name': 'America/Los_Angeles', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",236
3815,3235,Sacramento International Airport,SMF,KSMF,Sacramento,38.695412,-121.589996,United States,27,458041,"{'name': 'America/Los_Angeles', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",236
3816,2184,Sacramento Mather Airport,MHR,KMHR,Sacramento,38.55526,-121.296997,United States,98,97026,"{'name': 'America/Los_Angeles', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",236
3817,2112,Sacramento McClellan Airport,MCC,KMCC,Sacramento,38.667629,-121.400002,United States,76,81434,"{'name': 'America/Los_Angeles', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",236
3818,3210,Sadiq Abubakar III International Airport,SKO,DNSO,Sokoto,12.91632,5.207189,Nigeria,1010,556,"{'name': 'Africa/Lagos', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'WAT', 'abbrName': 'West Africa Time', 'isDst': False}",160
