,Name,Code,ICAO
840,Harmony Jets,,HMJ
841,Hawaiian Airlines,HA,HAL
842,Hebei Airlines,NS,HBH
843,Heli Air Monaco,YO,MCM
844,Heli Air Services,,HLR
845,Heli Holland,,HHE
846,Heli Securite,,HLI
847,Heli Service International,,HSO
848,Héli-Union,,HLU
849,Helicol,,HEL
850,Helijet International,,JBA
851,Helistar,,HTS
852,Helistar,,HSR
853,Helitrans,,HDR
854,HELITY Copter Airlines,,HTY
855,Hello Jets,H3,HLJ
856,Helvetic Airways,2L,OAW
857,Hera Flight,,HER
858,Hermes Airlines,H3,HRM
859,Heron Aviation,,HRN
860,Heston Airlines,HN,HST
861,Hi Air,4H,HGG
862,Hi Fly,5K,HFY
863,Hi Fly Malta,3L,HFM
864,Hibernian Airlines,HG,HBN
865,Himalaya Airlines,H9,HIM
866,Hinterland Aviation,OI,HND
867,HiSky,H7,HYM
868,HiSky Europe,H4,HYS
869,Hokkaido Air System,,NTH
870,Hong Kong Air Cargo,RH,HKC
871,Hong Kong Airlines,HX,CRK
872,Hong Kong Express,UO,HKE
873,Hop-A-Jet,,HPJ
874,Horizon Air,QX,QXE
875,HTM Helicopter Travel Munich,,HTM
876,Hummingbird Aviation,,ETI
877,Hunnu Air,MR,MML
878,Hydro Quebec,0Q,HYD
879,Hyperion Aviation,,HYP
880,I-Fly,F7,RSY
881,iAero Airways,WQ,SWQ
882,IBC Airways,II,CSQ
883,Iberia,IB,IBE
884,Iberia Express,I2,IBS
885,Iberojet,E9,EVE
886,Ibex Airlines,FW,IBX
887,Ibom Air,QI,IAN
888,Icaro,X8,ICD
889,Icelandair,FI,ICE
890,ICS-Aero,,ICF
891,IFL Group,,IFL
892,Image Air Charter,,BMG
893,ImperialJet,,JTI
894,IndiaOne Air,I7,IOA
895,IndiGo,6E,IGO
896,Indonesia AirAsia,QZ,AWQ
897,iNTAIRLINE,,ITI
898,Intel Air Shuttle,,HGT
899,InterCaribbean Airways,JY,IWY
900,InterJet West,K8,IJW
901,International Committee of the Red Cross,,RED
902,International Jet Management,,IJM
903,InterSky,3L,ISK
904,IrAero,IO,IAE
905,Iran Air,IR,IRA
906,Iran Airtour,B9,IRB
907,Iran Aseman Airlines,EP,IRC
908,Iraq Gate Company,,IGC
909,Iraqi Airways,IA,IAW
910,IRS Airlines,,LVB
911,Israir Airlines,6H,ISR
912,ITA Airways,AZ,ITY
913,Italfly,,ITL
914,iXAir,,IXR
915,Izair,4I,IZM
916,Izhavia,I8,IZA
917,JA Air Charter,,LTD
918,JAL Express,JC,JEX
919,Jambojet,JM,JMA
920,Japan Air Commuter,3X,JAC
921,Japan Airlines,JL,JAL
922,Japan Transocean Air,NU,JTA
923,Jasmin Airways,JO,JAW
924,Jazeera Airways,J9,JZR
925,Jazz Aviation,QK,JZA
926,JC Airlines,QD,JCC
927,JC Bamford Excavators,,JCB
928,Jeju Air,7C,JJA
929,Jet Airways,9W,JAI
930,Jet Asia Airways,JF,JAA
931,Jet Aviation Business Jets,PP,PJS
932,Jet Aviation Flight Services,,JAS
933,Jet Charter,N2,JCT
934,Jet Edge,,EDG
935,Jet Executive,,JEI
936,Jet Express,,RFE
937,Jet Fly Airline,,JFL
938,Jet It,,JIT
939,Jet Linx Aviation,,JTL
940,Jet Logistics,,JLG
941,Jet Story,,JDI
942,Jet Test International,,JTN
943,Jet2,LS,EXS
944,Jetair Caribbean,4J,JRC
945,Jetalliance East,,PLS
946,Jetbee Czech,,JBC
947,JetBlue Airways,B6,JBU
948,Jetcall,,JCL
949,Jetclub,0J,JCS
950,Jetconnect,,QNZ
951,JetFlite,,JEF
952,Jetfly Aviation,,JFA
953,Jetkontor,,JKH
954,jetlines,AU,CJL
955,JetLite,S2,JLL
956,JetNetherlands,,JNL
957,JetRight,,JRT
958,JetSMART,JA,JAT
959,JetSMART Argentina,WJ,JES
960,JetSMART Peru,JZ,JAP
961,Jetstar,JQ,JST
962,Jetstar Asia,3K,JSA
963,Jetstar Japan,GK,JJP
964,JetStream,,JSH
965,JetStream Charter,,VTB
966,Jetsuite Air,,RSP
967,Jettime,,JTD
968,Jetways Airlines,WU,JWX
969,Jhonlin Air Transport,,JLB
970,Jiangsu Jingdong Cargo Airlines,JG,JDL
971,Jiangxi Air,RY,CJX
972,Jiangxi Express Commuter Aviation,,KXA
973,Jin Air,LJ,JNA
974,Jinxiang Airlines,,JXX
975,Jivair,,JIV
976,Jonair,,JON
977,Jonika,,JNK
978,Jordan Aviation,R5,JAV
979,Jordan International Air Cargo,,JCI
980,JoyAir,JR,JOY
981,JSX,XE,JSX
982,Jubba Airways,3J,JBW
983,Jump Air,,JUP
984,Juneyao Air,HO,DKH
985,Jung Sky,,JSY
986,K-Mile Air,8K,KMI
987,K5-Aviation Germany,,KAY
988,KaiserAir,,KAI
989,Kalitta Air,K4,CKS
990,Kalitta Charters,K9,KFS
991,Kalitta Charters II,K5,KII
992,Kam Air,RQ,KMF
993,Kamaka Air,,KMK
994,Kan Air,K8,KND
995,KAP.kg,AB,KGS
996,Kargo Xpress,WW,KXP
997,Kartika Airlines,3Y,KAE
998,Karun Airlines,,KRU
999,KD Air,,KDC
1000,Keewatin Air,FK,KEW
1001,Kelowna Flightcraft Air,FK,KFA
1002,Kenmore Air,M5,KEN
1003,Kenn Borek Air,4K,KBA
1004,Kenya Airways,KQ,KQA
1005,Key Air,,KEY
1006,Key Lime Air,KG,LYM
1007,Keystone Air Service,,KEE
1008,KhabAvia,,KHF
1009,Khors Air,,KHO
1010,Kish Air,,KIS
1011,KlasJet,,KLJ
1012,KLM,KL,KLM
1013,KLM Cityhopper,WA,KLC
1014,KN Helicopters,,SHW
1015,Komiaviatrans,KO,KMA
1016,Korean Air,KE,KAL
1017,Kosmos Airlines,,KSM
1018,Krasavia,KV,SSJ
1019,Kudlik Aviation,,KUK
1020,Kunming Airlines,KY,KNA
1021,Kuwait Airways,KU,KAC
1022,La Compagnie,B0,DJT
1023,La Costena,,NIS
1024,Labcorp,,SKQ
1025,LADE,5U,LDE
1026,LAM,TM,LAM
1027,Lanmei Airlines,LQ,MKR
1028,Lao Airlines,QV,LAO
1029,Lao Skyway,LK,LLL
1030,LAS Cargo,4L,LAU
1031,Laser Airlines,QL,LER
1032,LATAM Airlines,LA,LAN
1033,LATAM Brasil,JJ,TAM
1034,LATAM Cargo,UC,LCO
1035,LATAM Cargo Brasil,M3,LTG
1036,LATAM Cargo Colombia,L7,LAE
1037,LATAM Chile,LU,LXP
1038,LATAM Colombia,4C,ARE
1039,LATAM Ecuador,XL,LNE
1040,LATAM Paraguay,PZ,LAP
1041,LATAM Peru,LP,LPE
1042,Lauda Europe,LW,LDA
1043,LC Peru,W4,LCB
1044,Leader,,LSA
1045,Leav Aviation,KK,NGN
1046,Legacy Airways,,LGF
1047,Legend Airlines,,LAL
1048,Legends Airways,,DVY
1049,LIAT,LI,LIA
1050,Libyan Airlines,LN,LAA
1051,Libyan Wings,YL,LWA
1052,Liebherr Aerospace,,LHB
1053,Lift,GE,GBB
1054,Limitless Airways,,LIM
1055,Línea Turística Aereotuy,,TUY
1056,Lion Air,JT,LNI
1057,Lipican Aer,,LIP
1058,LLC H3Operations,,UHO
1059,Loganair,LM,LOG
1060,LongJiang Airlines,LT,SNG
1061,Longtail Aviation,6T,LGT
1062,Loong Air,GJ,CDC
1063,LOT,LO,LOT
1064,Lucky Air,8L,LKE
1065,Lufthansa,LH,DLH
1066,Lufthansa Cargo,,GEC
1067,Lufthansa CityLine,CL,CLH
1068,Lufttransport,,LTR
1069,Lumiwings,L9,LWI
1070,Lunds Universitet,,UNY
1071,Luxair,LG,LGL
1072,Luxaviation,,LXA
1073,Luxaviation Belgium,,AAB
1074,Luxaviation E.A,,LMJ
1075,Luxaviation Germany,,LXG
1076,Luxaviation UK,,LNX
1077,Luxembourg Air Ambulance,,LRQ
1078,Luxwing,BN,LWG
1079,Lydd Air,,LYD
1080,Lynden Air Cargo,L2,LYC
1081,Lynx Air,Y9,DAT
1082,MAE Aircraft Management,MA,MEN
1083,Maersk Air Cargo,DJ,SRR
1084,Magnicharters,UJ,GMT
1085,Mahan Air,W5,IRM
1086,Makers Air,,WMA
1087,Malawian Airlines,3W,MWI
1088,Malaysia Airlines,MH,MAS
1089,Maldivian,Q2,DQA
1090,Maleth-Aero,DB,MLT
1091,Mali Air,,MAE
1092,Malta Air,,MAY
1093,Malta MedAir,MT,MMO
1094,Manasik Aviation,XN,MNM
1095,Mandarin Airlines,AE,MDA
1096,Mann Yadanarpon Airlines,7Y,MYP
1097,Manta Air,NR,MAV
1098,Map Linhas Aereas,7M,PAM
1099,Marathon Airlines,,MTO
1100,Martinair Holland,MP,MPH
1101,Martinaire,,MRA
1102,mas,M7,MAA
1103,MASwings,MY,MWG
1104,Mauritania Airlines International,L6,MAI
1105,Mavi Gök Airlines,4M,MGH
1106,Max Air,VM,NGL
1107,Max Aviation,,MAX
1108,Maxair,,NTW
1109,Maximus Airlines,6M,MXM
1110,Maya Island Air,2M,MYD
1111,MAYAir,7M,MYI
1112,McCall Aviation,,MKL
1113,McNeely Charter Services,,MDS
1114,MEA,ME,MEA
1115,Med-View Airline,VL,MEV
1116,Medavia,,MDM
1117,Mel Air,5M,MDO
1118,Meraj Airlines,,MRJ
1119,Mercury Air Cargo,4X,MEC
1120,Meridian,,MEM
1121,Meridian Air Company,,MMM
1122,Mesa Airlines,YV,ASH
1123,MHS Aviation,M2,MHV
1124,Miami Air International,LL,BSK
1125,Miami Air Lease,,MGD
1126,MIAT Mongolian Airlines,OM,MGL
1127,Mid Africa Aviation,,MFG
1128,Midwest Aviation,,DZR
1129,Midwest Aviation Division,,MWT
1130,MJet,,MJF
1131,MNG Airlines,MB,MNB
1132,Moçambique Expresso,,MXE
1133,Modern Logistics,WD,MWM
1134,Monacair,QM,MCR
1135,Morningstar Air Express,,MAL
1136,Motor Sich Airlines,M9,MSI
1137,Mount Cook Airline,NM,NZM
1138,Mountain Air Cargo,,MTN
1139,Mountain Aviation,,FTH
1140,Mountain Flyers,,MFB
1141,Move,,MVE
1142,Multiflight,,MFT
1143,My Indo Airlines,2Y,MYU
1144,My Jet Saver,,MJS
1145,MY Jet Xpress Airlines,N7,NEP
1146,MYAirline,Z9,MYM
1147,Myanmar Airways International,8M,MMA
1148,Myanmar National Airlines,UB,UBA
1149,MyWay Airlines,MJ,MYW
1150,Naljets Limited,,APX
1151,Nam Air,IN,LKN
1152,Nantucket Airlines,,ACK
1153,National Air Charters,JY,JYA
1154,National Airlines,N8,NCR
1155,National Airways,9Y,NAE
1156,National Airways Corporation,,NTN
1157,National Jet Systems,,QJE
1158,Nauru Airlines,ON,RON
1159,Naysa,ZN,NAY
1160,Neos,NO,NOS
1161,Nepal Airlines,RA,RNA
1162,Nesma Airlines,NE,NMA
1163,NetJets,1I,EJA
1164,NetJets Europe,,NJE
1165,Netjets UK,,NJU
1166,Network Aviation,,NWK
1167,New England Airlines,EJ,NEA
1168,New England Patriots,,UDG
1169,NHC Northern Helicopter,,NHC
1170,NHV,,NHD
1171,NHV Helicopters,,NHZ
1172,Nicholas Air,,JTZ
1173,NightExpress,,EXT
1174,Nile Air,NP,NIA
1175,Nippon Cargo Airlines,KZ,NCA
1176,Nok Air,DD,NOK
1177,Nolinor Aviation,N5,NRL
1178,Nomad Aviation,,NUM
1179,Nomadic Aviation,,OMD
1180,Noordzee Helikopters Vlaanderen,,NHX
1181,Nordic Unmanned,,NOU
1182,Nordica,ND,NDA
1183,NordStar,Y7,TYA
1184,Nordwind Airlines,N4,NWS
1185,Norlandair,,FNA
1186,NORRA,N7,FCM
1187,Norse Atlantic Airways,N0,NBT
1188,Norse Atlantic UK,Z0,UBT
1189,Norsk Luftambulanse,,DOC
1190,North Cariboo Air,,NCB
1191,North Central,,NCJ
1192,North Flying,,NFA
1193,North Pole Parcel Service,,R3D
1194,North Star Aviation,,MVK
1195,North-West Air Company,0E,NWC
1196,North-Western Cargo International Airlines,CO,CNW
1197,North-Wright Airways,HW,NWL
1198,Northeastern Aviation Corporation,,NEW
1199,Northern Air,,NLI
1200,Northern Air Cargo,NC,NAC
1201,Northern Jet Management,,NJM
1202,Northern Thunderbird Air,,NTA
1203,Northway Aviation,,NAL
1204,Northwest Flyers,,NWF
1205,Northwestern Air,J3,PLR
1206,Norwegian,,NAX
1207,Norwegian Air Shuttle AOC,DY,NOZ
1208,Norwegian Air Sweden AOC,D8,NSZ
1209,Nouvelair Tunisie,BJ,LBT
1210,Nova Airways,,NOV
1211,Novair,NG,NAI
1212,Novair,N9,NVR
1213,NovaJet,,NOJ
1214,Novoair,VQ,NVQ
1215,Nxt Jet,,KPO
1216,Nyxair,OJ,NYX
1217,OK Aviation Group,,NTF
1218,Okay Airways,BK,OKA
1219,Olympic Air,OA,OAL
1220,Olympus Airways,,OLY
1221,Oman Air,WY,OMA
1222,Omni Air International,OY,OAE
1223,Omni Air Transport,,DRL
1224,Omni Aviation,,OAV
1225,Omni Taxi Aereo,,OMI
1226,One Air,,HGO
1227,One Airways,OX,OEW
1228,Open Skies,LV,BOS
1229,Orbest,6O,OBS
1230,Orenburzhye,O7,ORG
1231,Oriental Air Bridge,OC,ORC
1232,Origin Air,OG,OGN
1233,Ornge Air,,PUL
1234,Oscar Jet,,OSJ
1235,OSM Aviation Academy,,SCQ
1236,OTT Airlines,JF,OTT
1237,Overland Airways,OF,OLA
1238,Oxford Aviation Academy,,OXF
1239,Oyonnair,,OYO
1240,Paccair,,WIS
1241,Pacific Airlines,BL,PIC
1242,Pacific Coast Jet,,PXT
1243,Pacific Coastal Airlines,8P,PCO
1244,PADAviation,,PVD
1245,Pakistan International Airlines,PK,PIA
1246,PAL Aerospace,,SPR
1247,PAL Airlines,PB,PVL
1248,PAL Express,2P,GAP
1249,Palau Express Airlines,P9,PXC
1250,Palau National Airlines,4L,PNA
1251,Pan American Airways,PN,PAA
1252,Pan Europeenne Air Service,,PEA
1253,Pan Pacific Airlines,8Y,AAV
1254,Panaviatic,,VPC
1255,Panellenic Airlines,,RJB
1256,Panorama Aviation,,PNO
1257,Paranair,ZP,AZP
1258,Pascan Aviation,P6,PSC
1259,PassionAir,OP,DIG
1260,Patient Airlift Services,,PLZ
1261,Patria Pilot Training,,PPT
1262,PAWA Dominicana,7N,PWD
1263,Peach,MM,APJ
1264,Pegas Fly,EO,KAR
1265,Pegasus Airlines,PC,PGT
1266,Pegasus Elite Aviation,,PEG
1267,Pel-Air,,PFY
1268,Pelita Air,IP,PAS
1269,People's,PE,PEV
1270,Performance Air,,PRZ
1271,Perimeter Aviation,YP,PAG
1272,Petroleum Air Service,UF,PER
1273,Petropavlovsk-Kamchatsky Air,,PTK
1274,PHI,,PHM
1275,Philippine Airlines,PR,PAL
1276,Philippines AirAsia,Z2,APG
1277,Phoenix Air,PH,GRB
1278,Piedmont Airlines,PT,PDT
1279,Pilatus Flugzeugwerke,,PCH
1280,Pilot Flight Academy,,PIP
1281,Pineapple Air,,PNP
1282,Pink Sparrow,,SOW
1283,Pionair Australia,,SFZ
1284,Pivot Airlines,ZX,GGN
1285,PixAir Survey,,PXR
1286,Planemaster Services,,PMS
1287,PlaneSense,,CNS
1288,Play,OG,FPY
1289,Plus Ultra,PU,PUE
1290,PNG Air,CG,TOK
1291,Pobeda,DP,PBD
1292,Polar Air Cargo,PO,PAC
1293,Polar Airlines,PI,RKA
1294,Polish Medical Air Rescue,,LPR
1295,Porter Airlines,PD,POE
1296,Portugalia Airlines,NI,PGA
1297,Poste Air Cargo,M4,MSA
1298,Pradhaan Air Express,6P,PRX
1299,Pratt and Whitney,,PWC
1300,Precision Air,PW,PRF
1301,Premier Private Jets,,MVP
1302,Presidential Aviation,,PRD
1303,Priester Aviation,,PWA
1304,Prime Aviation.,,PKZ
1305,Prince Aviation,,PNC
1306,Priority Air Charter,,PRY
1307,Privaira,,PVO
1308,Private Jets,,OKC
1309,Private Wings,8W,PWF
1310,Privilege Style,P6,PVG
1311,ProAir Aviation,,PAV
1312,Proflight Zambia,P0,PFZ
1313,Propair,,PRO
1314,PSA Airlines,OH,JIA
1315,QA Aviation,,QAV
1316,Qanot Sharq,HH,QNT
1317,Qantas,QF,QFA
1318,QantasLink,,QLK
1319,Qatar - Amiri Flight,,QAF
1320,Qatar Airways,QR,QTR
1321,Qatar Executive,QE,QQE
1322,Qazaq Air,IQ,QAZ
1323,Qeshm Airlines,QB,QSM
1324,QinetiQ,,EIS
1325,QinetiQ / Empire Test Pilots School,,ETP
1326,Qingdao Airlines,QW,QDA
1327,Qingdao Jiutian International Flight Academy,,QJT
1328,Quest Diagnostics,,LBQ
1329,Quick Air Jet Charter,,QAJ
1330,Quikjet Cargo Airlines,QO,FQA
1331,RAF-Avia,MT,MTL
1332,RAM Express,,RXP
1333,Ravenair,,RVR
1334,Ravn Alaska,7H,RVF
1335,Raya Airways,TH,RMY
1336,Rayani Air,RN,RKT
1337,Reach Air Medical Services,,REH
1338,Real Tonga Airline,,RLT
1339,Rectimo Air Transports,,RTO
1340,Rectrix Aviation,,RIX
1341,Red Air,L5,REA
1342,Red Sea Airlines,,RSX
1343,Red Wing Aviation,,LAK
1344,Red Wings,WZ,RWZ
1345,Redding Aero Enterprises,,BXR
1346,Redstar Aviation,,RHH
1347,REGA Swiss Air-Ambulance,,RGA
1348,Regency Air,,RGY
1349,Regent Airways,RX,RGE
1350,Regional,YS,RAE
1351,Regional Air Services,8N,REG
1352,Rennia Aviation,,RNI
1353,Republic Airways,YX,RPA
1354,Rex,ZL,RXA
1355,RGA-Black Stone Airlines,,RGM
1356,Rhoades Aviation,T4,RDS
1357,Richland Aviation,,RCA
1358,Rimbun Air,RI,OEY
1359,Rise Air,4T,WEW
1360,ROMCargo Airlines,NJ,RCR
1361,Roraima Airways,,ROM
1362,Rose Air,,REM
1363,Rossiya,FV,SDM
1364,Rossiya - Special Flight Squadron,,RSD
1365,Rotana Jet,RG,RJD
1366,Royal Air Freight,,RAX
1367,Royal Air Maroc,AT,RAM
1368,Royal Brunei Airlines,BI,RBA
1369,Royal Falcon,,RFJ
1370,Royal Jordanian,RJ,RJA
1371,Royal Wings,JO,RYW
1372,Royalair Philippines,RW,RYL
1373,Rubystar,,RSB
1374,Ruili Airlines,DR,RLH
1375,Sunlight Air,2R,RLB
1376,Rusline,7R,RLU
1377,Russia - Ministry of Emergency Situations (MChS),,SUM
1378,Rutaca Airlines,5R,RUC
1379,RVL Aviation,,REV
1380,RwandAir,WB,RWD
1381,RWL German Flight Academy,,RWL
1382,Ryan Air (USA),7S,RYA
1383,Ryanair,FR,RYR
1384,Ryanair UK,RK,RUK
1385,Ryukyu Air Commuter,,RAC
1386,S7 Airlines,S7,SBI
1387,SA Express,XZ,EXY
1388,SA Red Cross Air Mercy Service,,AMD
1389,SAAB Aircraft,,SCT
1390,SAAB Nyge Aero,,TGT
1391,SAF Helicopteres,,SHP
1392,Safari Express Cargo,ZF,SXY
1393,Safarilink Aviation,F2,XLK
1394,Safi Airways,4Q,SFW
1395,Saha Airlines,,IRZ
1396,Sahel Aviation Service,,SAO
1397,SalamAir,OV,OMS
1398,Salzburg Jet Aviation,,MOZ
1399,Samoa Airways,OL,PAO
1400,San Marino Executive Aviation,,SMF
1401,Sansa,,LRS
1402,Sapsan Airline,S2,KGB
1403,Sardinian Sky Service,,SSR
1404,SAS,SK,SAS
1405,SAS Connect,SL,SZS
1406,SAS Link,,SVS
1407,SATA Air Acores,SP,SAT
1408,Satena,9R,NSE
1409,Saudia,SV,SVA
1410,Saurya Airlines,,SAU
1411,Sawyer Aviation,,SJA
1412,SaxonAir,,SXN
1413,SBA Airlines,S3,BBR
1414,Scanwings,,ABF
1415,SCAT,DV,VSV
1416,Scoot,TR,TGW
1417,Seaborne,BB,SBS
1418,SEair International,XO,SGD
1419,SeaPort Airlines,K5,SQH
1420,Searca,,SRC
1421,Secure Air Charter,,JCM
1422,Sepehran Airlines,IS,SHI
1423,Serene Air,ER,SEP
1424,Servizi Aerei,,SNM
1425,Sevenair,,RVP
1426,Severstal Aircompany,D2,SSF
1427,SF Airlines,O3,CSS
1428,Shandong Airlines,SC,CDG
1429,Shanghai Airlines,FM,CSH
1430,Shenzhen Airlines,ZH,CSZ
1431,Shirak Avia,5G,SHS
1432,Shovkoviy Shlyah,S8,SWW
1433,Shree Airlines,N9,SHA
1434,Shuttle America,S5,TCF
1435,Siam General Aviation,5E,SGN
1436,Sichuan Airlines,3U,CSC
1437,Sideral Linhas Aereas,,SID
1438,Sierra Pacific Airlines,SI,SPA
1439,Sierra West Airlines,P8,PKW
1440,Silesia Air,,SUA
1441,Silk Way Airlines,ZP,AZQ
1442,Silk Way West Airlines,7L,AZG
1443,Silver Air,,SIS
1444,Silver Air,,SLD
1445,Silver Airways,3M,SIL
1446,Silver Cloud Air,,SCR
1447,Silverhawk Aviation,,SLH
1448,Silverstone Air Services,,SLR
1449,Simrik Airlines,,RMK
1450,Singapore Airlines,SQ,SIA
1451,Singapore Airlines Cargo,,SQC
1452,Sino Jet,,SJM
1453,Sino Jet Beijing,,JBE
1454,Sirio,,SIO
1455,Sirius Aero,SA,CIG
1456,SKS Airways,KI,SJB
1457,Sky Airline,H2,SKU
1458,Sky Airline Peru,H8,SKX
1459,Sky Angkor Airlines,ZA,SWM
1460,Sky Bus,,HVY
1461,Sky Cana,RD,SNA
1462,Sky Express,GQ,SEH
1463,Sky Gates Airlines,U3,SAY
1464,Sky Helicopteros,,HSY
1465,Sky High Aviation Services,DO,SHH
1466,Sky KG Airlines,,KGK
1467,Sky Lease Cargo,GG,KYE
1468,Sky Mali,ML,FML
1469,Sky Prime Aviation,UY,SPD
1470,Sky Quest,,ERY
1471,Sky Vision Airlines,,SVI
1472,Skyborne Airline Academy,,SFY
1473,Skybridge,,KYB
1474,Skybus,,IOS
1475,SkyCare,,PHX
1476,Skyfirst,,KFE
1477,SkyJet Airlines,M8,MSJ
1478,SkyLink Express,,SLQ
1479,Skymark Airlines,BC,SKY
1480,Skyservice Business Aviation,,SYB
1481,Skyside,,SKV
1482,Skytaxi,TE,IGA
1483,Skytrans,QN,SKP
1484,SkyUp Airlines,PQ,SQP
1485,Skyvalue Airways,4A,DYN
1486,Skyward Express,OW,SEW
1487,Skyway Enterprises,,SKZ
1488,SkyWest Airlines,OO,SKW
1489,Slam Lavori Aerei,,SLJ
1490,Sloane Helicopters,,SLN
1491,Smart Aviation,,SME
1492,Smart Jet,,SAH
1493,Smartavia,5N,AUL
1494,Smartline,,SMG
1495,SmartLynx,6Y,ART
1496,SmartLynx Estonia,,MYX
1497,SmartLynx Malta,,LYX
1498,Smartwings,QS,TVS
1499,Smartwings Hungary,7O,TVL
1500,Smartwings Poland,3Z,TVP
1501,Smartwings Slovakia,6D,TVQ
1502,Solairus Aviation,,TWY
1503,Solaseed Air,6J,SNJ
1504,Solenta Aviation,,SET
1505,Solid Air,,SOX
1506,Solinair,ZS,SOP
1507,Solomon Airlines,IE,SOL
1508,Somon Air,SZ,SMR
1509,Songbird Airways,6K,SGB
1510,Sounds Air,S8,SDA
1511,South African Airways,SA,SAA
1512,Southern Air Charter,PL,SOA
1513,Southern Airways Express,9X,FDY
1514,Southern Cross International,,SXI
1515,Southwest Airlines,WN,SWA
1516,Southwind Airlines,2S,STW
1517,Sparfell Luftfahrt,,LDX
1518,Specialist Aviation Services,,PLC
1519,Speedwings Executive Jet,,SPG
1520,SpiceJet,SG,SEJ
1521,Spirit Airlines,NK,NKS
1522,SpiritJets,,SJJ
1523,Spring Airlines,9C,CQH
1524,Spring Japan,IJ,SJO
1525,SprintAir,P8,SRN
1526,SprintAir Cargo,,SAR
1527,SR Jet,,QSR
1528,SriLankan Airlines,UL,ALK
1529,Sriwijaya Air,SJ,SJY
1530,St Barth Commuter,PV,SBU
1531,St Barth Executive,,STB
1532,STAjets,,KFB
1533,Star Air,S5,SDG
1534,Star Air Cargo,,BRH
1535,Star East Airlines,4R,SEK
1536,Star Peru,2I,SRU
1537,Star Wings,,STQ
1538,Star Work Sky,,SWP
1539,Starflyer,7G,SFJ
1540,Starlight Airlines,QP,SLT
1541,Starlink Aviation,Q4,TLK
1542,Starlite Aviation,,TRL
1543,Starlux,JX,SJX
1544,Sterling Aviation,,NSH
1545,STP Airways,8F,STP
1546,Suburban Air Freight,,SUB
1547,Sudan Airways,SD,SUD
1548,Summit Air,,SUT
1549,Sun Air,SO,SNR
1550,Sun Country Airlines,SY,SCX
1551,Sun-Air,EZ,SUS
1552,Sunair Aviation,ZU,SAV
1553,Sunclass Airlines,DK,VKG
1554,Suncor Energy,,JSN
1555,Sundair,SR,SDR
1556,Sundance Air Venezuela,,SUV
1557,Sundt Air,,AKK
1558,Sundt Air,,MDT
1559,SunExpress,XQ,SXS
1560,Sunkar Air,,BBK
1561,Sunrise Airways,S6,KSZ
1562,Sunstate Airlines,,SSQ
1563,Sunwest Aviation,,CNK
1564,Sunwing Airlines,WG,SWG
1565,Suparna Airlines,Y8,YZR
1566,Super Air Jet,IU,SJV
1567,Surf Air,,URF
1568,Surinam Airways,PY,SLM
1569,Surveillance Australia,,BDF
1570,Susi Air,,SQS
1571,Svenskt Ambulansflyg,,SWE
1572,Svenskt Industriflyg,,JET
1573,SVG Air,,SVD
1574,Sweden - Swedish Maritime Administration,,HMF
1575,Swift Copters,,WFC
1576,Swiftair,WT,SWT
1577,Swiftair Hellas,,MDF
1578,Swiss,LX,SWR
1579,Swiss Air-Ambulance,,SAZ
1580,Swiss Flight Services,,SFS
1581,Swiss Global Air Lines,LZ,SWU
1582,Swiss Helicopter,,HSI
1583,Swoop,WO,WSW
1584,SXM Airways,,SXM
1585,Sylt Air,7E,AWU
1586,Syncrude Canada,,SYN
1587,Syphax Airlines,FS,SYA
1588,Syrian Air,RB,SYR
1589,T'way Air,TW,TWB
1590,TAAG Angola Airlines,DT,DTA
1591,TAB Cargo,2L,BOL
1592,Taban Airlines,,TBN
1593,TAG Aviation,,VIP
1594,TAG Aviation Asia,,TBJ
1595,TAG Aviation Cayman,,TCJ
1596,TAG Aviation Malta,,TEU
1597,TAG Aviation San Marino,,TAG
1598,TagAirlines,5U,TGU
1599,Tailwind Air,TQ,PGN
1600,Tailwind Airlines,TI,TWI
1601,Tajik Air,7J,TJK
1602,Talon Air,,TFF
1603,Tanana Air Service,Z3,TNR
1604,Tandem-Aero,TQ,TDM
1605,TAP Air Portugal,TP,TAP
1606,Taquan Air,K3,TQN
1607,TAR Aerolineas,YQ,LCT
1608,Tarco Aviation,3T,TQQ
1609,Tarom,RO,ROT
1610,Tasman Cargo Airlines,HJ,TMN
1611,Tassili Airlines,SF,DTH
1612,Tatra JET,,TTJ
1613,Tbilisi Airways,TD,TBC
1614,TCA,N6,TZS
1615,Ten Airways,X5,OTJ
1616,Terra Avia,T8,TVR
1617,Texel Air,,XLR
1618,Tez Jet Airlines,,TEZ
1619,Thai AirAsia,FD,AIQ
1620,Thai AirAsia X,XJ,TAX
1621,Thai Airways,TG,THA
1622,Thai Eastar Jet,ZT,ESS
1623,Thai Lion Air,SL,TLM
1624,Thai Smile,WE,THD
1625,Thai VietJet Air,VZ,TVJ
1626,Thalair,,TLJ
1627,The Little Jet Company,,LJC
1628,Thomas Cook Airlines,MT,TCX
1629,Thomas Cook Aviation,H3,TCN
1630,Thrive,,TIV
1631,Thunder Airlines,,THU
1632,Tianjin Air Cargo,HT,CTJ
1633,Tianjin Airlines,GS,GCR
1634,Tibet Airlines,TV,TBA
1635,Tigerair Taiwan,IT,TTW
1636,Time Air,,TIE
1637,Titan Airways,ZT,AWC
1638,Titan Airways Malta,TM,TMT
1639,Toll Aviation,,TFX
1640,Total Linhas Aereas,L1,TTL
1641,Toyo Aviation,,TOY
