,Name,Code,ICAO
194,Aircompany RusJet,,RSJ
195,Aircraft Management Group,,RVJ
196,Aireon Canada,,AEN
197,Airest,,AEG
198,AirExplore,ED,AXE
199,Airfast Indonesia,,AFE
200,AirGO Private Airline,,XGO
201,Airhub Airlines,RE,GJM
202,Airkenya Express,P2,XAK
203,Airlec Air Espace,,ARL
204,Airlift,,ALI
205,Airlift International,,AIR
206,Airlink,,JAR
207,Airlink,4Z,LNK
208,AirNet,,USC
209,Airnorth,TL,ANO
210,Airpac Airlines,,APC
211,AirPink,,PNK
212,AirSERBIA,JU,ASL
213,AirSF Flight Services,,XSN
214,AirShare,,XSR
215,AirSial,PF,SIF
216,AirSmart,,XSM
217,AirSprint,,ASP
218,Airstream,,AQS
219,AirSWIFT,T6,ATX
220,AirTanker,9L,TOW
221,Airtask,,DCT
222,AirTraffic,,ATY
223,Airwing,,NWG
224,Airwork,,AWK
225,AIS Airlines,,PNX
226,Ajwaa Airlines,,AJY
227,Akasa Air,QP,AKJ
228,Al-Atheer Aviation,,ATE
229,Al-Naser Wings,NG,NAD
230,Alante Air Charter,,SVL
231,Alaska Airlines,AS,ASA
232,Alaska Central Express,KO,AER
233,AlbaStar,AP,LAV
234,Albatros Airlines,G0,GAL
235,Albawings,2B,AWT
236,Albinati Aeronautics,,LUC
237,Albinati Aeronautics,,ULC
238,Alexandria Airlines,DQ,KHH
239,Alfa Airlines,5E,AAJ
240,Algonquin Airlink,,FSY
241,Alidaunia,D4,LID
242,AlisCargo Airlines,CP,LSI
243,Aliserio,,TJD
244,ALK Airlines,,VBB
245,Alkan Air,,ALN
246,Alkan Air,,AKN
247,All Nippon Airways,NH,ANA
248,Allegiant Air,G4,AAY
249,Alliance Air,9I,LLR
250,Alliance Airlines,QQ,UTY
251,Allied Air,4W,AJK
252,AlMasria Universal Airlines,UJ,LMU
253,Aloha Air Cargo,KH,AAH
254,AlpAvia,,APP
255,Alphaland Aviation,,BIC
256,Alpine Air Express,5A,AIP
257,Alpine Flightservice,,FSE
258,Alrosa,6R,DRU
259,ALS,,ALW
260,Altagna,,AGH
261,Amakusa Airlines,MZ,AHX
262,Amapola Flyg,HP,APF
263,Amaszonas,Z8,AZN
264,AMC Airlines,,AMV
265,AMC Aviation,,AMQ
266,Amelia,8R,AIA
267,Amelia International,NL,AEH
268,American Air Charter,,GTW
269,American Airlines,AA,AAL
270,Ameriflight,A8,AMF
271,Amerijet International,M6,AJT
272,Ameristar,7Z,AJI
273,AMREF Flying Doctors,,FDS
274,AMS Airlines,,GEO
275,ANA Wings,EH,AKX
276,Anap Jets,,AJP
277,Anda Air,DM,SSV
278,Anderson Air,,ADS
279,Andes Lineas Aereas,,ANS
280,Angara Airlines,2G,AGU
281,Anguilla Air Services,Q3,AXL
282,Animawings,A2,AWG
283,Antonov Airlines,,ADB
284,APG Airlines,GP,RIV
285,Arajet,DM,DWI
286,Arc en Ciel,,JMS
287,Arcus Air,,AZE
288,Ariana Afghan Airlines,FG,AFG
289,Arik Air,W3,ARA
290,Arkhangelsk Airlines,,OAO
291,Arkia Israeli Airlines,IZ,AIZ
292,Armenia Airways,6A,AMW
293,Aruba Airlines,AG,ARU
294,ASAS Linhas Aereas,,CEU
295,ASG Business Aviation,,ESW
296,Asia Cargo Airlines,GM,TMG
